image_name,class_label,accuracy
2458.png,1,1
5295.png,0,1
3223.png,5,0
6359.png,2,1
2499.png,1,0
3345.png,0,1
6598.png,3,0
577.png,6,1
6767.png,0,1
9247.png,3,0
9553.png,5,1
4063.png,8,1
710.png,4,0
7187.png,7,0
8065.png,1,1
3085.png,7,1
8311.png,7,0
2990.png,1,1
3318.png,5,0
6076.png,3,1
6710.png,1,1
9215.png,3,0
2817.png,3,0
6536.png,0,1
3103.png,4,1
4929.png,1,1
4915.png,1,1
2343.png,3,0
9558.png,6,1
6469.png,3,1
4691.png,4,0
6859.png,1,1
8050.png,0,1
8481.png,3,1
8912.png,4,1
8785.png,6,1
6030.png,6,0
2322.png,5,0
381.png,4,0
7072.png,3,1
4427.png,0,1
8608.png,4,0
3614.png,3,0
5073.png,3,1
2085.png,3,1
742.png,6,1
622.png,3,0
6587.png,6,0
6948.png,4,1
8346.png,1,1
