image_name,class_label,accuracy
9041.png,2,1
7865.png,3,0
6945.png,3,0
1150.png,3,0
8412.png,3,0
6012.png,3,0
9244.png,1,1
3796.png,3,0
371.png,1,0
7108.png,0,1
8159.png,3,0
8881.png,3,0
5627.png,3,0
9222.png,4,0
3520.png,3,0
2600.png,3,0
8271.png,2,0
6512.png,0,0
2012.png,3,0
8714.png,3,0
5556.png,3,1
7779.png,3,0
1485.png,1,1
6881.png,3,0
4645.png,3,1
6047.png,0,1
6906.png,3,0
4450.png,3,0
8451.png,3,1
5212.png,3,0
912.png,3,0
6486.png,3,0
8906.png,1,1
4746.png,0,1
1789.png,6,1
1038.png,3,0
8814.png,3,1
6193.png,4,0
6769.png,3,0
828.png,3,1
2309.png,3,0
6153.png,3,0
51.png,3,1
3589.png,6,1
4594.png,3,1
8184.png,3,0
807.png,3,0
3367.png,3,0
1148.png,1,0
4781.png,3,0
