image_name,class_label,accuracy
8834.png,0,1
412.png,3,0
7291.png,7,0
360.png,4,1
4001.png,7,1
610.png,5,0
6414.png,1,1
3236.png,3,1
7050.png,1,0
9690.png,3,0
4388.png,3,0
9647.png,8,1
8940.png,0,1
1794.png,6,0
4820.png,1,1
6762.png,0,1
2262.png,1,1
3154.png,6,0
3828.png,3,1
8955.png,1,0
1568.png,1,0
771.png,4,0
1583.png,4,0
5097.png,1,1
759.png,0,1
6429.png,5,0
5450.png,0,1
1150.png,1,1
8606.png,3,1
9242.png,1,1
7292.png,2,1
7251.png,0,1
2856.png,3,0
613.png,0,1
9042.png,5,0
7047.png,8,1
2659.png,7,1
5081.png,2,1
2936.png,7,0
1542.png,8,1
3816.png,3,1
6775.png,1,0
9320.png,0,1
6013.png,0,1
6991.png,5,0
6985.png,1,0
8765.png,0,1
6990.png,2,1
4611.png,3,0
5731.png,2,1
5043.png,3,1
6562.png,0,1
6204.png,4,1
7867.png,5,0
5645.png,3,0
2102.png,0,1
1386.png,8,1
7522.png,1,1
4003.png,4,1
6614.png,1,1
3793.png,1,0
3973.png,3,1
7724.png,3,0
4239.png,1,0
825.png,5,0
1584.png,3,1
1221.png,2,1
979.png,1,1
1786.png,0,1
206.png,6,0
9443.png,0,1
8991.png,5,1
9457.png,0,1
4172.png,6,0
6981.png,4,0
5522.png,0,1
3806.png,4,0
5287.png,1,1
4199.png,4,0
7123.png,7,0
7889.png,6,0
2729.png,3,1
7876.png,1,1
9046.png,5,0
9734.png,2,1
9052.png,1,1
5683.png,2,1
2846.png,0,1
7080.png,3,0
3741.png,6,1
6639.png,1,1
3796.png,4,0
4951.png,4,0
6613.png,1,1
5468.png,3,0
3596.png,4,0
7096.png,3,1
8366.png,1,1
9044.png,3,1
66.png,7,1
5087.png,6,1
3421.png,3,1
2059.png,3,0
7135.png,6,1
9124.png,0,1
1791.png,0,1
7492.png,8,1
6029.png,1,1
1746.png,4,0
8004.png,0,1
4602.png,0,1
589.png,1,1
4617.png,1,1
6969.png,3,1
953.png,4,1
8207.png,0,0
7134.png,3,1
3385.png,3,1
2662.png,2,0
833.png,7,0
6376.png,5,1
9.png,3,1
1357.png,3,0
7726.png,0,1
5680.png,3,0
7518.png,3,0
4011.png,7,0
9509.png,3,1
3965.png,4,0
416.png,6,0
7594.png,3,1
4062.png,0,1
5432.png,6,0
1495.png,3,0
14.png,8,1
3269.png,1,1
840.png,0,0
7033.png,3,1
2229.png,2,0
4659.png,2,0
7350.png,6,1
9369.png,1,1
7422.png,5,0
3877.png,3,1
2980.png,3,1
7608.png,3,1
5619.png,1,0
1133.png,0,1
1641.png,5,0
8659.png,3,1
6674.png,3,0
464.png,3,1
6853.png,7,1
7597.png,6,0
5828.png,5,0
4277.png,0,1
8303.png,3,1
5960.png,7,0
8288.png,3,1
3487.png,0,1
9141.png,3,1
6919.png,0,0
7391.png,5,1
6931.png,3,1
260.png,5,0
7346.png,8,1
9430.png,0,1
8048.png,3,0
1078.png,2,1
1093.png,6,0
1939.png,7,0
8921.png,2,1
6267.png,3,1
6273.png,1,0
2798.png,2,1
7031.png,2,1
5140.png,0,1
3525.png,2,1
6461.png,5,0
4276.png,5,1
5356.png,0,1
9544.png,3,1
2377.png,4,0
4074.png,3,1
7596.png,2,1
6840.png,2,1
311.png,1,1
7592.png,7,0
4058.png,4,1
5408.png,3,1
2824.png,3,0
