image_name,class_label,accuracy
374.png,3,1
9727.png,4,0
4559.png,2,1
2882.png,4,1
7044.png,0,1
5653.png,1,1
7871.png,0,1
2712.png,3,0
2074.png,4,0
7642.png,7,0
3801.png,3,0
8954.png,1,0
200.png,0,1
3829.png,3,0
2538.png,0,1
5531.png,3,1
6777.png,3,1
6005.png,3,0
1959.png,4,1
6950.png,4,1
9487.png,6,0
5726.png,0,1
5068.png,5,1
3419.png,6,0
7870.png,0,1
8362.png,4,1
1420.png,1,1
2129.png,6,1
2471.png,5,0
4941.png,3,1
9295.png,0,1
9283.png,3,0
377.png,8,1
6615.png,1,1
5452.png,3,1
3751.png,7,1
8374.png,3,0
2088.png,3,0
9122.png,2,1
4360.png,3,0
968.png,6,1
1230.png,3,1
2739.png,3,0
217.png,3,0
8758.png,1,1
5532.png,3,1
4822.png,0,1
216.png,1,0
3340.png,7,0
8567.png,3,0
9651.png,3,1
996.png,3,1
3552.png,2,1
5651.png,5,0
4229.png,4,1
160.png,3,0
9094.png,2,1
7250.png,6,0
7293.png,7,1
5484.png,0,1
4956.png,1,0
366.png,1,0
414.png,3,0
3026.png,0,1
3740.png,4,0
5641.png,3,1
776.png,0,1
1590.png,2,0
7863.png,3,1
2072.png,0,1
6200.png,1,1
6957.png,1,1
3807.png,3,0
7320.png,7,1
6770.png,2,0
2259.png,3,1
207.png,1,1
6956.png,4,1
978.png,2,1
5907.png,3,1
7692.png,3,0
6413.png,4,0
830.png,1,0
6407.png,3,0
7731.png,3,0
8416.png,5,0
3543.png,0,1
4012.png,1,1
1142.png,4,0
1624.png,0,1
5456.png,0,1
8827.png,0,1
8819.png,5,0
3794.png,7,0
5497.png,3,0
3964.png,0,1
1815.png,1,1
7519.png,7,1
1381.png,3,1
1424.png,1,1
2887.png,3,0
6377.png,4,0
4560.png,3,1
2105.png,4,1
826.png,1,0
6405.png,3,0
9695.png,2,0
5736.png,5,0
6203.png,3,1
8945.png,3,0
8776.png,4,1
7337.png,8,1
9326.png,5,0
6766.png,4,0
6996.png,0,1
5535.png,3,1
4824.png,7,1
5910.png,3,1
7685.png,3,0
4207.png,0,1
5119.png,0,1
2110.png,3,0
1419.png,0,1
8373.png,4,1
628.png,1,1
2474.png,3,0
5455.png,8,1
6821.png,3,0
471.png,3,1
7580.png,4,0
2413.png,1,1
5426.png,1,0
4738.png,4,1
6649.png,3,0
8499.png,3,0
1442.png,3,0
3255.png,3,1
9156.png,0,1
3309.png,1,1
3889.png,5,0
7437.png,3,0
4881.png,5,1
4895.png,3,1
9427.png,3,0
6072.png,4,1
7152.png,1,1
3334.png,0,1
8507.png,3,0
5751.png,3,1
6264.png,0,1
5631.png,3,0
5143.png,6,0
7768.png,2,1
5194.png,8,1
2837.png,3,1
5433.png,3,0
8895.png,3,0
3081.png,0,1
458.png,4,0
9237.png,3,1
6676.png,3,1
1657.png,0,1
1496.png,8,1
9021.png,3,1
857.png,3,0
7024.png,1,0
6272.png,2,1
2014.png,4,0
1535.png,3,0
9343.png,8,1
9419.png,3,0
3860.png,1,1
7145.png,3,0
7637.png,1,1
4464.png,6,1
2968.png,1,0
1326.png,2,1
9008.png,3,0
9020.png,5,0
6475.png,6,0
103.png,3,1
4048.png,4,1
5418.png,7,1
6850.png,1,1
6844.png,5,0
7586.png,6,0
339.png,1,1
9232.png,6,1
3247.png,1,1
1450.png,0,1
1322.png,4,1
3253.png,4,1
846.png,3,0
9178.png,3,0
7633.png,6,0
2993.png,0,1
1083.png,3,1
6049.png,3,1
4676.png,5,0
9435.png,4,1
