image_name,class_label
4594.png,3
9222.png,6
8881.png,2
8159.png,1
2600.png,2
9041.png,2
8814.png,3
2309.png,4
6512.png,8
7779.png,2
1789.png,6
8412.png,7
6047.png,0
6906.png,8
4746.png,0
3796.png,7
3520.png,5
1485.png,1
4645.png,3
6945.png,4
5212.png,4
6486.png,0
9244.png,1
1148.png,0
6153.png,2
6881.png,4
6193.png,7
912.png,6
8714.png,2
2012.png,7
3367.png,6
51.png,3
807.png,2
7108.png,0
6769.png,7
5627.png,8
828.png,3
6012.png,2
8451.png,3
371.png,3
8184.png,2
4781.png,6
8906.png,1
8271.png,0
4450.png,5
7865.png,6
3589.png,6
1038.png,7
5556.png,3
1150.png,1
8346.png,1
742.png,6
6469.png,3
8785.png,6
6030.png,5
6598.png,5
5073.png,3
2322.png,7
8311.png,8
3345.png,0
577.png,6
4929.png,1
6859.png,1
6536.png,0
9558.png,6
4063.png,8
8050.png,0
6948.png,4
710.png,3
2990.png,1
9553.png,5
2085.png,3
7072.png,3
9247.png,4
2817.png,4
8608.png,3
622.png,2
6076.png,3
3223.png,6
6710.png,1
4427.png,0
3085.png,7
4691.png,7
381.png,3
6359.png,2
2499.png,0
9215.png,2
2458.png,1
7187.png,8
4915.png,1
8912.png,4
6767.png,0
3614.png,4
8481.png,3
5295.png,0
2343.png,4
3318.png,4
6587.png,7
8065.png,1
3103.png,4
