image_name,class_label
8346.png,1
742.png,6
6469.png,3
8785.png,6
6030.png,5
6598.png,5
5073.png,3
2322.png,7
8311.png,8
3345.png,0
577.png,6
4929.png,1
6859.png,1
6536.png,0
9558.png,6
4063.png,8
8050.png,0
6948.png,4
710.png,3
2990.png,1
9553.png,5
2085.png,3
7072.png,3
9247.png,4
2817.png,4
8608.png,3
622.png,2
6076.png,3
3223.png,6
6710.png,1
4427.png,0
3085.png,7
4691.png,7
381.png,3
6359.png,2
2499.png,0
9215.png,2
2458.png,1
7187.png,8
4915.png,1
8912.png,4
6767.png,0
3614.png,4
8481.png,3
5295.png,0
2343.png,4
3318.png,4
6587.png,7
8065.png,1
3103.png,4
