image_name,class_label
2816.png,7
9509.png,3
7594.png,3
8004.png,0
4425.png,2
7597.png,5
260.png,6
7867.png,6
4290.png,3
2221.png,5
6969.png,3
7748.png,6
2536.png,1
5401.png,8
7048.png,0
8955.png,0
7631.png,3
1791.png,0
8940.png,0
1542.png,8
516.png,3
9366.png,3
7824.png,0
589.png,1
278.png,0
1062.png,0
3575.png,0
1746.png,5
6906.png,8
7876.png,1
3473.png,4
5043.png,3
7350.png,6
3973.png,3
3085.png,7
2856.png,4
6204.png,4
7114.png,8
2617.png,5
9544.png,3
8660.png,2
3206.png,0
3789.png,1
4807.png,1
4120.png,3
4692.png,3
6545.png,3
7632.png,2
4008.png,1
5698.png,4
2509.png,5
447.png,6
4602.png,0
5070.png,6
8989.png,0
3793.png,0
8860.png,0
6376.png,5
5103.png,1
8921.png,2
7592.png,8
5358.png,7
6775.png,2
6273.png,2
3525.png,2
3047.png,3
2032.png,0
1739.png,2
4847.png,0
464.png,3
7391.png,5
3982.png,6
778.png,3
3796.png,7
5239.png,4
2331.png,2
3837.png,3
5712.png,3
4901.png,2
3869.png,6
1832.png,3
3164.png,3
3246.png,7
2421.png,4
1653.png,3
6444.png,4
1133.png,0
7790.png,6
6656.png,8
9467.png,7
6.png,1
6562.png,0
9242.png,1
979.png,1
8659.png,3
14.png,8
7134.png,3
1321.png,4
5081.png,2
7726.png,0
998.png,4
4277.png,0
8270.png,3
5756.png,0
2142.png,0
5267.png,8
1577.png,3
8351.png,0
4199.png,5
4196.png,8
6585.png,2
6329.png,3
419.png,6
7300.png,1
6154.png,7
4926.png,4
4662.png,2
9734.png,2
1476.png,3
4913.png,1
299.png,3
2102.png,0
2846.png,0
7608.png,3
6093.png,3
8425.png,3
7884.png,8
1559.png,3
3923.png,4
4630.png,6
4457.png,2
7624.png,7
5776.png,4
4003.png,4
708.png,0
1150.png,1
7047.png,8
5097.png,1
234.png,1
6445.png,3
7422.png,4
2929.png,7
7038.png,5
2179.png,7
613.png,0
644.png,8
9690.png,2
2828.png,1
253.png,3
1138.png,6
7856.png,4
2911.png,1
8723.png,6
6381.png,3
2947.png,2
8112.png,0
1776.png,0
7291.png,8
8366.png,1
6853.png,7
1729.png,2
2690.png,3
6276.png,1
5412.png,1
953.png,4
2595.png,0
3965.png,6
8801.png,0
1945.png,0
6487.png,0
1561.png,5
741.png,4
2743.png,2
7518.png,2
4140.png,6
9466.png,3
2798.png,2
8521.png,0
661.png,6
3060.png,3
9320.png,0
9412.png,2
1568.png,2
206.png,7
6981.png,5
5466.png,3
6840.png,2
2377.png,5
4083.png,0
8195.png,1
3059.png,1
9100.png,2
66.png,7
5467.png,4
6711.png,2
7980.png,3
1980.png,0
5839.png,7
7749.png,3
3596.png,5
4635.png,2
7492.png,8
3385.png,3
2093.png,8
8636.png,2
9018.png,4
2244.png,0
